tax_seq_id,GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0008150,GO:0008152,GO:0009987,GO:0071704,GO:0110165
O67056,1,0,1,1,0,0,0,0,0,0
A0A6G9KHD3,0,0,0,0,1,0,0,0,0,1
P12579,1,0,1,1,1,0,0,0,0,1
O60020,1,1,0,0,1,1,1,0,1,1
B3FTL2,1,1,0,0,0,0,0,0,0,0
Q93MW7,1,1,0,0,0,0,0,0,0,0
Q3HM11,0,0,0,0,0,1,0,0,0,0
Q1D4V7,1,0,1,1,0,0,0,0,0,0
P86242,1,0,0,0,1,1,0,0,0,1
W2SDE2,1,0,1,1,0,0,0,0,0,0
Q9U1N0,0,0,0,0,1,0,0,0,0,1
Q2V0W1,1,1,1,1,0,1,1,1,1,0
P72578,1,1,0,0,0,0,0,0,0,0
Q62L02,1,1,1,0,0,1,1,1,1,0
Q9RR46,1,0,0,0,0,1,0,0,0,0
P84759,0,0,0,0,1,1,0,0,0,1
Q9FPP8,1,1,0,0,1,1,1,1,1,1
P08617,1,1,0,0,1,1,0,0,0,0
Q84940,1,0,1,1,0,0,0,0,0,0
P45689,1,0,0,0,1,0,0,0,0,1
P85528,1,0,0,0,1,1,0,0,0,1
Q8GAK7,1,1,1,0,0,1,1,0,1,0
P11193,0,0,0,0,0,1,0,0,0,0
C0HM57,0,0,0,0,1,0,0,0,0,1
B3NV41,0,0,0,0,1,0,0,0,0,1
Q2KS03,0,0,0,0,1,1,0,0,0,1
P15571,0,0,0,0,0,1,0,0,0,0
D6WMX4,1,1,1,1,0,1,1,1,1,0
Q8WT56,0,0,0,0,1,0,0,0,0,1
Q5S260,1,1,0,0,0,1,0,1,0,0
Q65652,1,1,0,0,0,0,0,0,0,0
C0HLV0,1,1,0,0,0,0,0,0,0,0
Q96WT2,1,1,0,0,0,1,1,1,1,0
Q9QMH9,1,0,1,1,0,0,0,0,0,0
B2BUF1,1,0,1,1,0,0,0,0,0,0
Q68VC1,0,0,0,0,0,1,0,0,0,0
P83246,1,1,1,1,0,1,1,0,1,0
E0XKJ9,1,1,0,0,0,1,1,0,1,0
P60164,1,0,0,0,1,0,0,0,0,1
Q7WTU1,1,0,1,1,1,0,0,0,0,1
Q9M653,1,1,0,0,0,0,0,0,0,0
B2UP57,1,1,0,0,0,1,1,0,1,0
Q7M8G0,1,1,0,0,0,1,1,1,1,0
P83335,0,0,0,0,0,1,0,0,0,0
P04273,1,0,1,1,0,1,1,1,1,0
A0A151CBU1,1,0,1,1,1,0,0,0,0,1
P0DUQ3,1,1,0,0,0,1,0,0,0,0
P69687,1,0,1,1,0,0,0,0,0,0
G8SD34,1,1,0,0,0,1,1,1,1,0
D0U1P6,1,0,1,1,0,0,0,0,0,0
Q3AF10,1,0,1,1,0,0,0,0,0,0
O93428,1,1,0,0,0,1,1,0,1,0
O68195,1,0,1,1,0,0,0,0,0,0
O53872,0,0,0,0,1,0,0,0,0,1
D2ZZC1,1,0,1,1,1,1,0,1,0,1
P86783,0,0,0,0,0,1,0,0,0,0
P0DKB4,1,1,0,0,0,0,0,0,0,0
C0HKQ3,1,0,0,0,0,1,0,0,0,0
Q9BP38,1,0,1,1,1,1,0,0,0,0
A8W9Z0,1,0,1,1,0,0,0,0,0,0
Q7WUM3,0,0,0,0,0,1,1,1,1,0
A7TJH8,1,0,1,1,0,0,0,0,0,0
B8QIR1,0,0,0,0,0,1,0,0,0,0
A8RG82,1,1,1,0,0,0,0,0,0,0
Q0MWV8,0,0,0,0,0,1,0,0,0,0
Q32ZD5,1,1,0,0,0,0,0,0,0,0
C1PGW1,0,0,0,0,1,1,0,1,0,1
A1JSP4,0,0,0,0,0,1,0,0,0,0
F8WSY7,1,1,0,0,0,0,0,0,0,0
Q5TLG6,1,0,1,1,0,0,0,0,0,0
Q27128,1,1,0,0,0,1,1,1,0,0
Q8I8W7,1,0,1,1,0,1,0,0,0,0
O13134,1,0,0,0,0,0,0,0,0,0
P21231,1,0,1,1,1,0,0,0,0,1
Q5J4V8,0,0,0,0,1,0,0,0,0,1
P21683,1,1,0,0,0,1,1,1,1,0
P94135,0,0,0,0,0,1,1,1,1,0
Q0TR53,1,1,1,0,0,1,1,1,1,0
B3EWY5,0,0,0,0,1,1,0,0,0,1
P22473,1,0,0,0,0,0,0,0,0,0
A0A2I4E5L6,1,0,0,0,1,1,0,1,0,1
A0A0H3JX98,1,1,0,0,0,1,1,0,1,0
A3KIM2,1,1,1,0,0,1,1,0,1,0
Q764F6,1,0,1,1,0,0,0,0,0,0
K4GKX2,1,1,0,0,0,1,1,0,1,0
P85110,0,0,0,0,1,0,0,0,0,1
P17863,1,0,1,1,0,0,0,0,0,0
G3CKA6,1,0,1,1,0,0,0,0,0,0
W0LYS5,0,0,0,0,0,1,0,0,0,0
R4TUW8,1,1,0,0,0,0,0,0,0,0
C4ZUT0,1,1,0,0,1,0,0,0,0,1
Q95VF0,1,0,1,0,0,0,0,0,0,0
P04590,1,0,1,1,0,0,0,0,0,0
A0A151EH88,1,1,0,0,0,1,1,1,1,0
A0A2L0ART2,1,0,0,0,1,1,0,0,0,1
B9WZX0,0,0,0,0,0,1,1,1,1,0
C0HLN6,0,0,0,0,0,1,0,1,0,0
Q8RM02,1,1,0,0,0,1,1,1,1,0
A7MAQ2,1,1,1,0,0,1,0,1,0,0
P86924,1,1,0,0,1,1,1,1,1,1
Q27081,1,1,0,0,0,1,1,0,1,0
G3MJ83,1,0,1,1,0,0,0,0,0,0
Q9TWW2,0,0,0,0,1,1,0,0,0,1
L0E155,1,1,0,0,0,1,1,0,0,0
P83573,0,0,0,0,0,1,0,0,0,0
G8GJ95,1,1,0,0,0,1,1,1,1,0
O88111,0,0,0,0,0,1,1,0,0,0
P89216,0,0,0,0,1,0,0,0,0,1
P48814,1,1,0,0,0,0,0,0,0,0
Q9GNQ1,0,0,0,0,1,1,0,0,0,1
B3EWC6,1,1,0,0,0,1,1,1,0,0
Q0Q029,0,0,0,0,1,1,0,0,0,1
P09613,1,0,1,1,0,1,0,0,0,0
P83480,1,0,0,0,0,0,0,0,0,0
P51715,1,1,0,0,0,0,0,0,0,0
B3FK34,1,0,1,1,0,1,0,0,0,0
Q9I8F5,1,0,1,0,0,0,0,0,0,0
P06422,1,0,1,1,0,0,0,0,0,0
A0A060A682,1,0,0,0,1,1,0,1,0,1
C0HL85,0,0,0,0,0,1,0,0,0,0
Q9Z5Z7,1,0,1,1,0,0,0,0,0,0
P06465,1,0,1,1,0,0,0,0,0,0
P83306,0,0,0,0,0,1,1,0,0,0
C0LQF3,0,0,0,0,0,1,0,1,0,0
P85002,0,0,0,0,0,1,0,0,0,0
C6XHE2,1,1,0,0,0,1,1,1,1,0
P0C1R0,0,0,0,0,1,1,0,0,0,1
G4RIN9,1,1,0,0,0,0,0,0,0,0
Q1LRY0,1,1,1,0,0,1,1,1,1,0
Q58GE8,1,1,0,0,0,1,1,1,1,0
A0A140KFG9,1,1,0,0,0,1,1,1,1,0
Q008X6,0,0,0,0,0,1,1,1,1,0
F7ZLS5,1,1,1,0,0,1,1,0,1,0
Q9HE18,1,1,1,0,1,1,1,1,1,1
P0DV11,1,0,1,0,0,1,0,0,0,0
B3EWF8,1,0,0,0,1,1,0,0,0,1
F2SG60,1,0,0,0,0,1,0,1,0,0
A0A166B1A6,0,0,0,0,1,0,0,0,0,1
A0A125SXN2,0,0,0,0,0,1,1,1,1,0
P84777,1,0,0,0,1,1,0,0,0,1
K5BJH8,1,1,0,0,0,1,0,1,0,0
P04849,0,0,0,0,0,1,0,0,0,0
P0C213,1,0,1,1,0,0,0,0,0,0
Q55013,0,0,0,0,1,0,0,0,0,1
P31352,0,0,0,0,1,1,1,1,1,0
Q256S2,1,0,1,0,0,1,1,0,1,0
Q6J3N5,1,1,0,0,0,1,1,1,1,0
Q9GT50,0,0,0,0,0,1,0,0,0,0
Q0H293,0,0,0,0,1,1,0,0,0,1
P52700,1,1,1,0,0,1,1,1,0,0
Q6IT90,0,0,0,0,1,0,0,0,0,1
Q7X2A1,1,0,0,0,0,0,0,0,0,0
I1ZHA5,1,1,0,0,0,1,1,1,1,0
Q93UV4,1,1,1,0,0,1,1,1,1,0
A4YGN2,1,1,0,0,0,0,0,0,0,0
Q52VH2,1,0,1,1,0,0,0,0,0,0
P84821,1,0,1,0,1,1,0,0,0,1
A2QZ43,0,0,0,0,0,1,0,1,0,0
B1AL16,0,0,0,0,1,0,0,0,0,1
Q8B9I6,0,0,0,0,0,1,0,0,0,0
D0EM60,1,1,0,0,0,0,0,0,0,0
Q9GK38,1,0,1,1,0,0,0,0,0,0
A0A009IHW8,1,1,0,0,0,1,1,1,1,0
C0ZVK5,0,0,0,0,1,0,0,0,0,1
Q6GLC9,0,0,0,0,1,0,0,0,0,1
O52380,1,1,0,0,1,1,1,1,1,0
A3SK19,1,1,1,1,0,0,0,0,0,0
C1IIX1,0,0,0,0,0,1,0,0,0,0
A0A023G6B6,1,0,1,1,0,0,0,0,0,0
Q27451,1,1,0,0,1,1,1,1,1,1
Q65CJ7,1,1,0,0,0,0,0,0,0,0
C4YMW2,1,1,0,0,0,0,0,0,0,0
Q9Q0U9,1,0,1,1,0,0,0,0,0,0
P14779,1,1,1,1,0,0,0,0,0,0
A3R052,1,1,0,0,0,1,1,1,1,0
Q6VPV2,1,1,0,0,0,1,1,1,1,0
P79085,1,0,1,1,1,0,0,0,0,1
Q6DLS1,1,0,1,1,0,0,0,0,0,0
A3DHD2,1,0,1,0,0,0,0,0,0,0
Q2CEE3,1,1,0,0,0,1,1,1,1,0
P61554,0,0,0,0,0,1,0,1,0,0
H1ZV38,1,1,1,1,0,1,1,1,1,0
R9QMY8,1,1,0,0,0,1,1,1,1,0
P87666,1,0,1,1,0,1,0,0,0,0
P46872,1,0,1,1,0,0,0,0,0,0
E7D6C3,1,1,0,0,0,0,0,0,0,0
Q9P8C9,1,1,0,0,0,1,1,0,1,0
Q72U69,0,0,0,0,1,1,0,0,0,1
P61502,0,0,0,0,0,1,1,1,1,0
Q56992,1,0,1,1,0,0,0,0,0,0
Q2IDH1,1,0,1,1,0,0,0,0,0,0
P26660,1,0,1,1,0,1,0,0,0,0
P03422,1,0,1,1,0,0,0,0,0,0
Q69306,0,0,0,0,0,1,0,0,0,0
P74946,0,0,0,0,0,1,1,1,1,0
Q1R2T5,1,0,1,1,0,0,0,0,0,0
Q6G2A9,1,1,0,0,0,1,1,0,1,0
A8EVM5,1,0,1,1,0,0,0,0,0,0
Q76L33,1,1,0,0,1,0,0,0,0,1
Q8TTH3,1,1,0,0,0,1,1,1,1,0
P81761,1,0,0,0,1,1,0,0,0,1
A0A0C9S461,1,0,1,1,0,1,0,0,0,0
A0A0D1E6R6,0,0,0,0,1,1,0,0,0,1
P03315,1,0,1,0,1,1,0,0,0,1
P84842,0,0,0,0,1,1,0,0,0,1
P83525,1,1,1,0,1,1,1,0,1,1
A0A1S5RW73,1,1,1,0,0,1,1,1,1,0
P03259,1,0,1,1,0,0,0,0,0,0
P84701,0,0,0,0,1,0,0,0,0,1
P56612,1,0,0,0,1,1,0,0,0,1
P89454,0,0,0,0,0,1,0,0,0,0
R4ZGN4,1,1,1,1,1,1,1,1,1,1
P19508,1,0,1,1,0,0,0,0,0,0
P83623,1,0,0,0,1,1,0,0,0,1
Q9EZJ8,1,0,0,0,0,0,0,0,0,0
A8BZ76,1,0,1,1,0,0,0,0,0,0
Q9ZES5,0,0,0,0,1,0,0,0,0,1
Q8H2B4,1,1,1,0,0,1,1,1,1,0
Q00870,1,1,0,0,0,1,1,1,0,0
C4MBZ5,1,1,0,0,0,1,1,0,1,0
Q2I2Q5,1,0,0,0,1,1,0,0,0,1
Q89933,1,0,1,1,1,1,0,0,0,1
Q383T7,0,0,0,0,1,0,0,0,0,1
P84274,0,0,0,0,1,1,0,0,0,1
A0A0S2II38,1,1,0,0,0,1,1,0,1,0
Q8RP17,1,0,1,1,0,0,0,0,0,0
O39198,1,0,1,1,0,0,0,0,0,0
I1MGE5,1,0,1,1,0,1,1,0,1,0
B0TZW0,1,1,1,0,0,1,1,0,1,0
P58906,1,0,1,0,0,0,0,0,0,0
P86589,0,0,0,0,1,0,0,0,0,1
R9UTQ8,1,1,1,0,0,1,1,0,0,0
H9C1A3,0,0,0,0,1,0,0,0,0,0
Q09092,1,0,1,1,0,0,0,0,0,0
P03407,1,0,1,1,0,1,0,1,0,0
Q8UUG8,0,0,0,0,0,1,0,0,0,0
B2LSD2,1,1,1,1,0,0,0,0,0,0
B2NID7,1,1,0,0,0,1,1,0,1,0
C0SVZ5,1,1,0,0,0,1,1,0,1,0
Q1W3E4,1,1,1,1,1,1,1,1,0,0
P36336,1,0,1,1,0,0,0,0,0,0
Q775D6,1,0,1,1,0,0,0,0,0,0
D6CJK0,1,1,0,0,0,0,0,0,0,0
A0A0N9NCU6,1,1,0,0,0,1,1,0,1,0
O83213,1,0,1,1,0,0,0,0,0,0
Q4R1I4,1,0,0,0,1,1,0,1,0,1
Q2NNN5,0,0,0,0,1,0,0,0,0,0
A0A095AMW7,1,1,1,0,0,1,1,1,0,0
Q27YG7,0,0,0,0,1,0,0,0,0,0
Q4W8B7,0,0,0,0,0,1,1,1,1,0
P68927,1,0,1,1,0,0,0,0,0,0
A8QW55,1,0,1,1,0,0,0,0,0,0
Q8H996,0,0,0,0,0,1,0,0,0,0
Q4R0H9,1,1,0,0,0,1,1,1,1,0
A0A0H2VBP9,1,0,1,1,0,0,0,0,0,0
A0JC82,1,0,1,1,0,1,0,0,0,0
Q2F6L5,0,0,0,0,1,0,0,0,0,1
Q96UQ7,1,0,1,0,0,1,1,1,1,0
Q9S4P4,0,0,0,0,1,0,0,0,0,1
Q1G9H4,1,1,0,0,0,1,1,1,1,0
P22121,1,0,1,0,1,0,0,0,0,0
Q8JSK4,1,0,1,1,0,0,0,0,0,0
C7SFP6,0,0,0,0,0,1,0,1,0,0
P97207,1,1,0,0,1,0,0,0,0,1
B2KIT2,0,0,0,0,1,0,0,0,0,1
Q6H9H9,0,0,0,0,0,1,1,1,1,0
P02628,1,0,1,0,0,0,0,0,0,0
A0A2K9RFZ7,1,1,0,0,0,0,0,0,0,0
P83961,0,0,0,0,0,1,0,0,0,0
D7PHZ1,0,0,0,0,0,1,1,1,1,0
U5PZT6,1,1,0,0,1,1,1,1,1,1
A0A507D1H9,0,0,0,0,0,1,0,0,0,0
Q6TY28,1,0,1,1,0,0,0,0,0,0
Q07932,0,0,0,0,1,1,0,0,0,1
P0CZ13,0,0,0,0,1,0,0,0,0,1
P08544,0,0,0,0,0,1,0,0,0,0
C0BK17,1,1,1,0,0,1,1,0,1,0
D0UZK2,1,1,0,0,0,1,0,0,0,0
A3LZU7,1,1,0,0,0,1,1,0,1,0
P84639,0,0,0,0,0,1,0,0,0,0
P03520,1,0,1,1,0,1,1,1,0,0
Q93ED6,1,0,1,1,0,0,0,0,0,0
P83257,1,0,0,0,0,1,0,0,0,0
Q6Q1R8,1,0,1,0,1,0,0,0,0,1
Q76HM7,1,1,0,0,0,1,1,0,1,0
A4L7R7,0,0,0,0,1,1,0,0,0,1
P33752,1,1,0,0,0,0,0,0,0,0
C8WJZ5,1,1,0,0,0,0,0,0,0,0
Q155Z9,1,1,0,0,1,1,0,0,0,0
A0A172J1V3,1,1,1,1,0,1,1,1,1,0
P85055,0,0,0,0,1,1,0,1,0,1
O06499,1,1,0,0,0,0,0,0,0,0
A0A140C435,1,1,0,0,0,1,1,1,1,0
C0HLN8,0,0,0,0,0,1,0,1,0,0
B3PDE5,1,1,0,0,0,1,1,1,1,0
D0KNS6,1,0,1,1,0,0,0,0,0,0
Q45695,1,1,0,0,0,0,0,0,0,0
Q9AAH3,0,0,0,0,0,1,0,1,0,0
Q77Q71,1,0,1,1,1,1,0,0,0,1
A5V6Z0,1,1,1,0,0,1,1,0,1,0
O30642,1,1,0,0,0,0,0,0,0,0
Q9NJS1,1,0,0,0,0,0,0,0,0,0
Q8JNK2,1,0,1,1,0,0,0,0,0,0
P93762,1,1,1,1,0,0,0,0,0,0
B3A0L2,0,0,0,0,1,1,0,0,0,1
Q84SM8,1,1,0,0,0,1,1,1,1,0
Q2H2M9,0,0,0,0,0,1,0,0,0,0
Q9L9G0,1,1,0,0,0,1,1,1,1,0
P86362,0,0,0,0,1,0,0,0,0,1
P04480,1,0,1,1,0,0,0,0,0,0
Q5H3E9,0,0,0,0,0,1,0,0,0,0
P0DOE3,0,0,0,0,0,1,0,0,0,0
Q01772,1,1,0,0,1,1,1,1,1,1
P85231,0,0,0,0,0,1,0,1,0,0
P00852,1,1,0,0,0,0,0,0,0,0
Q8WT57,0,0,0,0,1,0,0,0,0,1
Q70AY6,1,0,1,1,0,0,0,0,0,0
Q9GRT1,1,1,0,0,1,1,1,1,1,1
G3K2A8,0,0,0,0,0,1,1,1,1,0
P83283,1,0,0,0,0,0,0,0,0,0
Q4W382,0,0,0,0,0,1,1,1,1,0
Q50L36,1,1,1,0,1,1,1,1,1,1
P07567,1,0,1,1,1,0,0,0,0,1
P0CW72,1,0,1,1,0,0,0,0,0,0
A5Y5L5,1,1,0,0,0,1,1,1,1,0
Q41062,1,0,1,0,1,1,0,1,0,1
P83275,0,0,0,0,0,1,0,1,0,0
Q73VY8,1,0,1,1,0,0,0,0,0,0
C2M741,1,1,0,0,0,1,1,1,1,0
Q8GUE4,1,1,1,0,0,1,1,1,1,0
A0QXE5,1,1,0,0,0,1,1,1,1,0
Q9PSN7,1,1,0,0,0,1,0,0,0,0
F6KZW9,0,0,0,0,0,1,0,0,0,0
Q9PDH1,0,0,0,0,0,1,0,0,0,0
P36799,1,0,1,1,0,0,0,0,0,0
B1NKT1,1,1,0,0,0,1,0,0,0,0
Q9FZT2,1,1,0,0,0,0,0,0,0,0
A0CDD4,0,0,0,0,1,1,0,1,0,1
A0A1L3THR9,1,1,0,0,1,1,1,0,1,1
P10807,1,0,1,1,0,0,0,0,0,0
Q8X150,1,1,0,0,0,1,1,1,1,0
Q93AL8,1,1,0,0,0,1,1,1,1,0
P60781,1,1,0,0,1,1,1,1,1,1
Q04983,1,1,1,1,0,1,1,1,1,0
G4XII4,0,0,0,0,0,1,0,0,0,0
M0Y4P1,1,1,0,0,0,1,0,0,0,0
P84253,1,0,1,0,1,0,0,0,0,1
Q9SPD4,0,0,0,0,0,1,0,0,0,0
P84814,1,0,1,1,0,1,0,0,0,0
P86593,0,0,0,0,1,0,0,0,0,1
B9R4E3,1,1,0,0,0,0,0,0,0,0
P49278,1,0,1,1,0,0,0,0,0,0
A0A6M3VXD3,1,0,1,0,1,0,0,0,0,0
Q8L1D1,0,0,0,0,0,1,0,1,0,0
Q7BHI8,1,0,1,1,0,1,0,0,0,0
P84510,1,0,0,0,1,1,0,0,0,1
P84807,0,0,0,0,1,1,0,0,0,1
C0HLT8,1,0,0,0,0,1,0,0,0,0
P9WEW3,1,1,0,0,1,1,1,0,1,1
D4ZX35,1,1,0,0,0,1,1,1,1,0
P0A434,1,1,0,0,1,0,0,0,0,1
P0CS62,0,0,0,0,1,1,1,1,1,1
Q81JD7,0,0,0,0,0,1,0,0,0,0
P27228,1,0,1,1,0,0,0,0,0,0
P69543,0,0,0,0,0,1,1,1,1,0
O50083,1,1,0,0,0,1,1,1,1,0
Q9DG88,1,0,1,1,1,0,0,0,0,1
D4GUJ7,1,0,1,1,0,0,0,0,0,0
D3G9N3,1,1,0,0,0,1,1,0,1,0
A0A348AUV5,1,1,0,0,0,1,1,1,1,0
P0DJL1,0,0,0,0,1,1,0,0,0,1
P17763,0,0,0,0,1,1,0,0,0,1
P84002,0,0,0,0,1,0,0,0,0,1
A0A3S5YBC7,1,1,0,0,0,1,1,1,1,0
B5UAQ8,1,1,0,0,0,1,1,0,1,0
A0A044RE18,1,1,0,0,0,1,1,0,1,0
Q06797,1,0,1,1,0,0,0,0,0,0
P86383,1,1,0,0,0,0,0,0,0,0
R9QMR2,1,1,0,0,0,1,1,1,1,0
Q9XHG1,1,1,0,0,0,0,0,0,0,0
O93248,1,1,0,0,0,0,0,0,0,0
B3TPQ6,1,1,0,0,0,1,1,1,1,0
Q9WNN0,0,0,0,0,1,0,0,0,0,1
P0DJ42,1,1,0,0,0,0,0,0,0,0
Q5V9A4,1,0,1,1,0,0,0,0,0,0
P85500,0,0,0,0,1,0,0,0,0,0
A0A0U1WZ18,1,1,0,0,0,1,1,1,1,0
Q9AJU0,1,1,0,0,0,1,1,1,0,0
P04509,0,0,0,0,1,0,0,0,0,0
Q4G4D4,1,0,1,1,1,1,0,1,0,1
Q7SFA8,0,0,0,0,0,1,0,0,0,0
A0A0H3KB22,1,1,1,1,0,0,0,0,0,0
O86488,1,0,1,0,0,0,0,0,0,0
P22363,1,0,0,0,0,0,0,0,0,0
Q0JRK4,1,1,0,0,1,1,1,0,1,1
P03558,0,0,0,0,0,1,0,0,0,0
P97275,1,1,1,0,1,1,1,1,1,1
G8QCB1,1,0,1,0,1,0,0,0,0,0
O43980,1,1,0,0,0,1,1,1,1,0
P86563,0,0,0,0,1,0,0,0,0,1
P22242,0,0,0,0,0,1,0,1,0,0
T1SFR8,0,0,0,0,0,1,0,1,0,0
A0A075FBT3,1,1,0,0,0,0,0,0,0,0
E3W9C4,1,1,0,0,0,1,1,1,1,0
A3EX97,0,0,0,0,1,1,0,0,0,1
H6UNZ8,1,1,0,0,0,0,0,0,0,0
Q7WT72,1,1,0,0,0,1,1,1,1,0
Q52462,0,0,0,0,0,1,1,1,1,0
Q43116,0,0,0,0,1,0,0,0,0,1
Q8H2B5,1,1,0,0,0,1,1,1,1,0
M1VBI3,0,0,0,0,1,0,0,0,0,1
Q9IJX4,1,0,1,1,1,1,1,0,1,0
Q63KH5,1,1,0,0,0,1,0,0,0,0
V5YMB3,1,1,0,0,0,1,1,0,1,0
Q8DZ36,1,0,1,0,1,1,0,0,0,0
Q8L3B3,1,1,1,0,0,1,1,1,1,0
Q6YKB1,1,0,1,1,0,0,0,0,0,0
Q2I6W2,1,0,1,1,0,0,0,0,0,0
D2KKE6,0,0,0,0,0,1,1,0,1,0
I3R9K3,0,0,0,0,0,1,1,1,1,0
C0J1Q3,0,0,0,0,0,1,0,0,0,0
Q8W3Z2,1,1,0,0,0,1,1,1,1,0
A7XQ02,0,0,0,0,1,1,0,0,0,1
Q37916,0,0,0,0,1,0,0,0,0,0
Q6ENA5,0,0,0,0,1,0,0,0,0,1
Q5MJP5,0,0,0,0,1,0,0,0,0,1
Q51817,1,1,1,0,1,1,1,1,1,1
D8ADB5,1,1,1,0,0,1,1,0,1,0
A0A074IWI7,0,0,0,0,0,1,0,0,0,0
P86317,0,0,0,0,1,0,0,0,0,1
A6XMY0,0,0,0,0,0,1,0,1,0,0
P84693,0,0,0,0,1,0,0,0,0,1
Q09T02,0,0,0,0,1,1,0,1,0,1
B9DUC0,0,0,0,0,0,1,0,0,0,0
